item,l2_modality,primary_l1,extra_l1,strength,source,needs_review
prodromal_rbd,Diagnosis,Diagnosis,RBD,secondary,auto+accepted,0
prodromal_hyposmia,Diagnosis,Diagnosis,Olfaction,secondary,auto+accepted,0
prodromal_confirmed,Diagnosis,Diagnosis,,,auto+accepted,0
primary_diagnosis,Diagnosis,Diagnosis,,,auto+accepted,0
primary_diagnosis_text,Diagnosis,Diagnosis,,,auto+accepted,0
code_primary_diagnosis_confidence,Diagnosis,Diagnosis,,,auto+accepted,0
last_diagnosis,Diagnosis,Diagnosis,,,auto+accepted,0
path_diagnosis,Diagnosis,Diagnosis,,,auto+accepted,0
visit_month_of_last_diagnosis,Diagnosis,Diagnosis,Mortality / vital status,secondary,auto+accepted,0
diagnosis_change,Diagnosis,Diagnosis,,,auto+accepted,0
visit_month_diagnosis_change,Diagnosis,Diagnosis,,,auto+accepted,0
criteria_for_inclusion,Diagnosis,Diagnosis,,,auto+accepted,0
code_last_diagnosis_confidence,Diagnosis,Diagnosis,,,auto+accepted,0
handedness,Diagnosis,Diagnosis,,,auto+accepted,0
dominant_side,Diagnosis,Diagnosis,,,auto+accepted,0
dx_essential_bradykinesia,MDS_Diagnostic_criteria,Diagnosis,,,auto+accepted,0
dx_essential_rest_tremor,MDS_Diagnostic_criteria,Diagnosis,,,auto+accepted,0
dx_essential_rigidity,MDS_Diagnostic_criteria,Diagnosis,,,auto+accepted,0
dx_supportive_3_rest_tremor,MDS_Diagnostic_criteria,Diagnosis,,,auto+accepted,0
dx_exclusion_1_cerebellar_signs,MDS_Diagnostic_criteria,Diagnosis,,,auto+accepted,0
dx_exclusion_2_abnormal_eye_movement,MDS_Diagnostic_criteria,Diagnosis,,,auto+accepted,0
dx_exclusion_3_FTD_5y,MDS_Diagnostic_criteria,Diagnosis,Cognition,incidental,auto+accepted,0
dx_exclusion_4_lower_limbs_only_3y,MDS_Diagnostic_criteria,Diagnosis,,,auto+accepted,0
dx_exclusion_7_cortical_signs,MDS_Diagnostic_criteria,Diagnosis,,,auto+accepted,0
dx_exclusion_8_negative_neuroimaging,MDS_Diagnostic_criteria,Diagnosis,,,auto+accepted,0
dx_exclusion_9_other_parkinsonism,MDS_Diagnostic_criteria,Diagnosis,,,auto+accepted,0
dx_redflag_01_gait_impairment_5y,MDS_Diagnostic_criteria,Diagnosis,,,auto+accepted,0
dx_redflag_02_progression_absent,MDS_Diagnostic_criteria,Diagnosis,,,auto+accepted,0
dx_redflag_03_severe_bulbar_dysfunction_5y,MDS_Diagnostic_criteria,Diagnosis,,,auto+accepted,0
dx_redflag_04_inspiratory_respiratory_dysfunction,MDS_Diagnostic_criteria,Diagnosis,,,auto+accepted,0
dx_redflag_05_severe_autonomic_failure_5y,MDS_Diagnostic_criteria,Diagnosis,Autonomic,incidental,auto+accepted,0
dx_redflag_06_recurrent_falls_3y,MDS_Diagnostic_criteria,Diagnosis,,,auto+accepted,0
dx_redflag_07_dysproportionate_dystonia,MDS_Diagnostic_criteria,Diagnosis,,,auto+accepted,0
dx_redflag_09_unexplained_pyramidal_tract_signs,MDS_Diagnostic_criteria,Diagnosis,,,auto+accepted,0
dx_redflag_10_symmetric_parkinsonism,MDS_Diagnostic_criteria,Diagnosis,,,auto+accepted,0
dx_criteria_application,MDS_Diagnostic_criteria,Diagnosis,,,auto+accepted,0
age_at_first_motor_symptom,PD History,Disease course / complications,,,auto+accepted,0
first_motor_symptom,PD History,Disease course / complications,,,auto+accepted,0
living_status_at_censoring,PD History,Disease course / complications,Mortality / vital status,secondary,auto+accepted,0
age_at_living_status_censored,PD History,Disease course / complications,Mortality / vital status,secondary,auto+accepted,0
hy3_status_at_censoring,PD History,Disease course / complications,,,auto+accepted,0
age_at_hy3_status_censored,PD History,Disease course / complications,Mortality / vital status,secondary,auto+accepted,0
dyskinesia_status_at_censoring,PD History,Disease course / complications,,,auto+accepted,0
age_at_dyskinesia_status_censored,PD History,Disease course / complications,Mortality / vital status,secondary,auto+accepted,0
motor_fluctuation_status_at_censoring,PD History,Disease course / complications,,,auto+accepted,0
age_at_motor_fluctuation_status_censored,PD History,Disease course / complications,Mortality / vital status,secondary,auto+accepted,0
levodopa_status_at_censoring,PD History,Disease course / complications,Medication,secondary,auto+accepted,0
age_at_levodopa_status_censored,PD History,Disease course / complications,Mortality / vital status,secondary,auto+accepted,0
